2895146b-f5f0-47db-823c-6ae26bd5cbd1,copies_of_basal_TF_per_cell,5700,copies/cell,,BACTERIA
9b44bcac-992d-45fb-8a49-c52c1b457a00,transcription_elongation_rate,60.0,nt/s,,BACTERIA
48d7739d-c93e-4537-a303-61b002820f5b,default_enzyme_concentation,0.004732687179487179,μM/gDW,,BACTERIA
83c72748-2141-441b-8622-7e25dcf9428f,copies_of_rnapII_per_cell,4600,copies/cell,,BACTERIA
edb903d5-902e-4cdf-b49d-6a3fee2c3ee5,doubling_time_cell,0.66,h,,BACTERIA
2a980bf7-baaf-4f11-853d-56234c171ca7,average_gene_copies_per_cell,2,copies/cell,,BACTERIA
c4362d99-ef41-4d2e-ab3a-cebdc45966cb,average_polysome_number,4,copies/transcript,,BACTERIA
0da0e5bb-da78-461b-877c-3dc60d23c341,mass_of_single_cell,2.8e-13,g/cell,BIND:103904,BACTERIA
0b395929-cfcc-4c37-a5c1-f09e193e72e9,transcription_initiation_time_constant,400,s,,BACTERIA
8dbd292c-865e-4b0a-ad22-5edfedb09a0b,average_protein_length,330,aa,,BACTERIA
fc0928fa-bae0-43a1-a1d2-700d216c0a97,translation_elongation_rate,16.5,aa/s,,BACTERIA
79d64979-c8c3-4a0e-9df7-2c2c9839a31c,average_protein_half_life,70,h,,BACTERIA
63c1a0d9-e2d7-4b75-8b20-49896faa9852,default_turnover_number,10,1/s,,BACTERIA
2455d926-f2ae-41bf-8b29-ca2a35579518,fraction_nucleus,0,,,BACTERIA
a927b334-88da-4184-9145-149774305b2c,mRNA_half_life_transcription_factor,0.083,h,,BACTERIA
f1643878-5261-4b67-bd92-a0b7ed3b3083,average_transcript_length,1000,nt,,BACTERIA
eb568614-c533-42e4-b858-7729f8cfb381,copies_of_ribosome_per_cell,50000,copies/cell,,BACTERIA
9c563013-d9ee-4048-9f95-198e3ae02db6,average_mRNA_half_life,0.083,h,,BACTERIA
b1a13e6d-18fd-4b6a-ba27-7baee7aa5a15,average_infrastructure_half_life,300,h,,BACTERIA
